participantID,condition,pid,condition,block_idx,trial_idx,tau_true,change_flag,s_t,x_t,click_x,rt_ms,repeated_click_flag,points_awarded,score_total_at_checkpoint,show_past_dots_flag,tutorial_phase
P33828,HI,P33828,HI,0,13,14,0,105.57009475305676,114.63236485184312,108.375,-0.19999998807907104,0,95,6170,0,5
P33828,HI,P33828,HI,0,14,15,0,105.57009475305676,95.7799353745515,105.75,0,0,100,6270,0,5
P33828,HI,P33828,HI,0,15,16,0,105.57009475305676,107.12012068988273,104.625,-0.09999999403953552,0,99,6369,0,5
P33828,HI,P33828,HI,0,16,17,0,105.57009475305676,104.57980981492781,104.625,-0.09999999403953552,1,99,6468,0,5
P33828,HI,P33828,HI,0,17,18,0,105.57009475305676,107.13914321342905,107.625,-0.09999999403953552,0,96,6564,0,5
P33828,HI,P33828,HI,0,18,19,0,105.57009475305676,108.46942837358151,107.625,0,1,96,6660,0,5
P33828,HI,P33828,HI,0,19,20,0,105.57009475305676,101.31396235769739,105.375,-0.09999999403953552,0,100,6760,0,5
P33828,HI,P33828,HI,0,0,1,0,55.20518033299595,36.19460040933458,37.5,-0.09999999403953552,0,65,6825,0,
P33828,HI,P33828,HI,0,1,0,1,63.74452271592982,52.38043211694966,53.625,0,0,80,6905,0,
P33828,HI,P33828,HI,0,2,1,0,63.74452271592982,64.84698940715144,65.25,0,0,97,7002,0,
P33828,HI,P33828,HI,0,3,0,1,61.630858691982525,54.941180608493525,57,-0.10000002384185791,0,91,7093,0,
P33828,HI,P33828,HI,0,4,0,1,71.48958693706173,75.47999983362921,78,0,0,87,7180,0,
P33828,HI,P33828,HI,0,5,1,0,71.48958693706173,61.221762565376814,62.25,-0.20000001788139343,0,82,7262,0,
P33828,HI,P33828,HI,0,6,0,1,51.90413941062372,39.68569113976316,39,-0.09999999403953552,0,75,7337,0,
P33828,HI,P33828,HI,0,7,1,0,51.90413941062372,58.36470861547185,57.375,-0.09999999403953552,0,90,7427,0,
P33828,HI,P33828,HI,0,8,2,0,51.90413941062372,52.4388687409309,51.74999999999999,-0.10000002384185791,0,100,7527,0,
P33828,HI,P33828,HI,0,9,3,0,51.90413941062372,50.06580704064652,52.5,-0.19999998807907104,0,99,7626,0,
P33828,HI,P33828,HI,0,10,4,0,51.90413941062372,57.58602334289151,57.75,-0.09999999403953552,0,89,7715,0,
P33828,HI,P33828,HI,0,11,5,0,51.90413941062372,55.12734486500565,54.75,-0.09999999403953552,0,95,7810,0,
P33828,HI,P33828,HI,0,12,6,0,51.90413941062372,40.55594789166573,39.75,0,0,76,7886,0,
P33828,HI,P33828,HI,0,13,7,0,51.90413941062372,49.46587439846678,47.25,0,0,91,7977,0,
P33828,HI,P33828,HI,0,14,8,0,51.90413941062372,64.53113948686504,62.25,-0.09999999403953552,0,80,8057,0,
P33828,HI,P33828,HI,0,15,9,0,51.90413941062372,53.81635776226773,53.25,0,0,98,8155,0,
P33828,HI,P33828,HI,0,16,10,0,51.90413941062372,45.20243516852997,46.125,-0.09999999403953552,0,89,8244,0,
P33828,HI,P33828,HI,0,17,11,0,51.90413941062372,56.76476942594711,56.625,-0.09999999403953552,0,91,8335,0,
P33828,HI,P33828,HI,0,18,12,0,51.90413941062372,61.14707584910037,60.75000000000001,-0.09999999403953552,0,83,8418,0,
P33828,HI,P33828,HI,0,19,13,0,51.90413941062372,50.22604542805351,54.375,-0.20000001788139343,0,96,8514,0,
P33828,HI,P33828,HI,0,20,14,0,51.90413941062372,66.79447882449898,67.5,-0.20000001788139343,0,69,8583,0,
P33828,HI,P33828,HI,0,21,15,0,51.90413941062372,52.59757123509985,53.25,-0.09999999403953552,0,98,8681,0,
